date,North,Yorkshire_and_the_Humber,North_West,East_Midlands,West_Midlands,East_Anglia,Outer_South_East,Outer_Metropolitan,London,South_West,Wales,Scotland,Northern_Ireland,UK_Total
1982-07-01,44.04652986537708,49.55092099254072,39.737582005623246,46.44445463298336,42.553597314412144,50.15812017133021,49.729074575787834,47.858008411148326,48.46755838244006,46.8119012694446,47.6899486655259,47.67113823478611,65.38058920293106,49.809806778827046
1982-10-01,46.55164902191435,51.22545288476176,40.618556701030926,48.02622529916098,43.33562218661783,51.35903286497738,50.99458149151576,49.112552569677085,49.777071056652005,47.246518534615454,48.46774372763839,48.61151092943366,66.42739644085539,51.02855737022388
1983-01-01,45.86764257395548,52.63104480641396,41.64011246485473,49.6698913392325,45.3593499656672,52.8921980705336,53.83216882931698,51.58029795423765,51.42175661771584,50.058854421325215,49.252205604568985,50.26771834878231,67.37251383280993,52.480081754698055
1983-04-01,47.68222018908204,54.69376363728624,43.10028116213683,52.099857869882165,46.18715190356298,55.20195348464833,56.46656209895908,54.495687504455056,54.38530851495028,52.25367161043806,51.38114180315118,52.432494674419935,68.70644534170779,54.631819988266685
1983-07-01,50.15902060732802,55.74161465469122,43.86504217432053,52.48039979826693,47.35065232318608,57.177454865697925,58.65891915014972,56.253474944757286,56.95912449724067,53.97946433422068,52.043378741749805,53.71639127180609,69.59473605503216,56.206354913798
1983-10-01,50.11327495316517,56.2388998832902,44.28116213683224,53.5830544220806,47.65583276112001,58.12817741483527,59.74975046342507,58.35483641029296,58.08935865057837,55.194581771427536,52.40116447032156,54.75847774771144,70.71631523852251,57.099600688859034
1984-01-01,51.52485513876182,57.880448571573545,46.31865042174321,54.82096189995874,49.538414587624935,60.333853728833915,63.065022101810925,61.30729203792144,61.5954229414149,57.32963908657938,54.35009666881486,55.9061162607711,72.3313892627486,59.198349766279975
1984-04-01,53.57251775367055,60.07002587912924,48.151827553889404,57.57186740635459,51.10246433203631,63.06192706456906,65.77605874803936,63.93613229738399,64.6073020921024,58.50129479726915,56.887930842907615,58.26856276507954,73.66232989382384,61.50716299842925
1984-07-01,54.269594388533086,60.135992287004605,48.03748828491096,57.791939846866256,51.38284885938811,64.5010207757896,67.09503778696707,65.7666262741464,65.98073145636518,60.28322558446968,57.71239360874686,58.754102135989406,74.9813070136085,62.3474196173426
1984-10-01,56.06892345227204,64.24620693154716,50.06373008434864,60.47865755811288,53.54009308003357,67.19106520955927,69.53514900898332,67.47879392686578,68.9053097621052,62.809438438275286,58.3190737571946,61.19331375822826,76.6472259608195,64.91928616036789
1985-01-01,56.813924105781375,64.71050895620844,51.46204311152765,62.31947182614277,55.258640421149,69.37072174852888,71.9307001283331,70.36709672820585,72.64677454556792,64.35232972963185,59.2968732638503,62.42731302895964,78.8604755495738,66.23076777502318
1985-04-01,58.4825513004836,67.01425889277921,52.60731021555764,63.72472605565999,55.88044556343938,72.67723469837075,74.42428347354912,72.78209423337373,75.529261372494,65.75215950453632,61.04135647458832,63.638282764311896,78.2832361298041,68.17244185386348
1985-07-01,59.014072234566285,66.86202872075911,52.980318650421744,64.1396543028747,56.66437781338216,73.37176253953005,75.86803079994297,75.21705039560909,78.12178467870172,67.61558102895637,60.783572968288176,63.84554858272401,80.6938836548527,69.22276262750516
1985-10-01,60.083649196183515,68.66341908966356,53.11715089034677,65.03828343496401,56.91042954146639,75.51138865537808,77.76807357764153,77.50944472164801,81.29891185732549,68.68401513916807,62.41249805551234,64.35411748901299,80.64602960969043,70.6913192407411
